product_id,review_count_observed,review_avg_rating,recommendation_rate,avg_helpfulness,avg_review_length,skin_share_dry,theme_lightweight_count,theme_greasy_count,theme_hydrating_count,theme_drying_count,theme_fragrance_count,theme_irritation_count,theme_breakout_count,theme_absorption_count,theme_sticky_count,theme_texture_count,theme_effective_count,skin_share_unknown,skin_share_combination,skin_share_normal,skin_share_oily,skin_share_sensitive
P420652,16138,4.3504771347131,0.829674822315869,0.7761568073019429,289.29018465733054,0.18955260874953525,52,220,3661,4993,2804,372,159,231,1085,4780,3147,0.044429297310695254,0.5083653488660305,0.13725368695005577,0.12039905812368323,0.0
P7880,8736,4.362637362637362,0.8327635327635328,0.761184243760495,296.78136446886447,0.13266941391941392,53,838,641,2508,2488,2349,1477,5,27,3598,1531,0.2441620879120879,0.4310897435897436,0.10771520146520147,0.08436355311355312,0.0
P218700,7763,4.499806775731032,0.8593117408906883,0.8259635798493543,363.6198634548499,0.11606337756022156,379,2439,3166,2645,498,812,1871,1114,64,1937,1621,0.433208811026665,0.31598608785263427,0.07638799433208811,0.058353729228391084,0.0
P248407,7547,4.5184841658937325,0.8343249427917621,0.8154486009796084,347.6044786007685,0.2419504438849874,273,2040,3758,3787,854,1993,1272,871,154,2144,1864,0.27295614151318404,0.35881807340665167,0.07658672320127202,0.049688617993904866,0.0
P269122,7414,4.5450499055840305,0.9402499571991098,0.7664171446866608,308.11788508227676,0.12233612085244133,1,344,365,708,223,1504,1740,46,27,2316,2694,0.19490153763150797,0.4732937685459941,0.10709468572970057,0.10237388724035608,0.0
P394639,7294,4.483685220729367,0.897691500524659,0.7912613798468027,292.7796819303537,0.1473814093775706,1282,2356,5061,1996,1295,900,924,869,529,3525,1017,0.13600219358376747,0.4851933095695092,0.10995338634494105,0.12146970112421168,0.0
P450271,6169,4.495055924785216,0.8728459093190564,0.8077811248419292,308.6937915383368,0.1964662019776301,33,779,346,844,928,1235,568,15,39,2175,1189,0.039552601718268764,0.5331496190630572,0.11428108283352245,0.11655049440752148,0.0
P417238,6169,4.495055924785216,0.8728459093190564,0.8077811248419292,308.6937915383368,0.1964662019776301,33,779,346,844,928,1235,568,15,39,2175,1189,0.039552601718268764,0.5331496190630572,0.11428108283352245,0.11655049440752148,0.0
P427421,6063,3.9604156358238494,0.7283523008411678,0.7641253858728084,338.1237011380505,0.19165429655286162,314,1333,3674,1432,326,906,1278,442,155,2409,1019,0.013194788058716806,0.5574797954807851,0.12815437902028698,0.1095167408873495,0.0
P411387,5864,4.20975443383356,0.800704845814978,0.7863881793136487,300.7179399727149,0.17172578444747613,35,794,466,2043,1163,1100,1275,10,16,2658,913,0.038881309686221006,0.5334242837653479,0.12056616643929059,0.1354024556616644,0.0
